,OpenDate,Open,High,Low,Close,BaseVolume,CloseDate,QuoteVolume
0,2017-08-18 04:30:00,302.00000000,311.79000000,283.94000000,293.96000000,9537.84646000,2017-08-19 04:29:59.999,2858946.50935390
1,2017-08-19 04:30:00,293.31000000,299.90000000,278.00000000,290.91000000,2146.19773000,2017-08-20 04:29:59.999,620022.58986170
2,2017-08-20 04:30:00,289.41000000,300.53000000,282.85000000,299.10000000,2510.13871000,2017-08-21 04:29:59.999,742847.89455990
3,2017-08-21 04:30:00,299.10000000,346.52000000,294.60000000,323.29000000,5219.44542000,2017-08-22 04:29:59.999,1689472.34121400
4,2017-08-22 04:30:00,321.04000000,330.41000000,144.21000000,309.80000000,7956.35088000,2017-08-23 04:29:59.999,2454425.80331370
5,2017-08-23 04:30:00,312.25000000,324.99000000,309.41000000,315.74000000,8665.72569000,2017-08-24 04:29:59.999,2753464.94504080
6,2017-08-24 04:30:00,315.74000000,328.04000000,314.01000000,323.42000000,6753.27192000,2017-08-25 04:29:59.999,2159417.11415370
7,2017-08-25 04:30:00,323.42000000,338.28000000,323.42000000,327.24000000,7125.96962000,2017-08-26 04:29:59.999,2354162.03829400
8,2017-08-26 04:30:00,327.24000000,335.44000000,323.41000000,330.79000000,4877.68521000,2017-08-27 04:29:59.999,1601994.37731660
9,2017-08-27 04:30:00,332.18000000,348.13000000,330.73000000,348.13000000,4635.43715000,2017-08-28 04:29:59.999,1554477.35816030
10,2017-08-28 04:30:00,348.11000000,351.00000000,331.95000000,346.00000000,4279.18170000,2017-08-29 04:29:59.999,1463758.16910410
11,2017-08-29 04:30:00,347.00000000,377.60000000,346.00000000,374.70000000,3032.13425000,2017-08-30 04:29:59.999,1102069.62058090
12,2017-08-30 04:30:00,374.70000000,393.71000000,362.05000000,385.93000000,4446.59608000,2017-08-31 04:29:59.999,1679526.21251150
13,2017-08-31 04:30:00,384.64000000,389.36000000,377.78000000,384.79000000,4435.86855000,2017-09-01 04:29:59.999,1704441.39426660
14,2017-09-01 04:30:00,386.44000000,394.39000000,383.18000000,388.46000000,4198.68434000,2017-09-02 04:29:59.999,1635227.61376610
15,2017-09-02 04:30:00,388.58000000,394.32000000,320.08000000,343.14000000,8240.32724000,2017-09-03 04:29:59.999,2904008.46138610
16,2017-09-03 04:30:00,343.56000000,367.28000000,320.08000000,341.77000000,5253.62211000,2017-09-04 04:29:59.999,1801702.61780290
17,2017-09-04 04:30:00,339.29000000,344.55000000,267.94000000,283.77000000,6737.81061000,2017-09-05 04:29:59.999,2002446.18180200
18,2017-09-05 04:30:00,286.81000000,321.52000000,235.55000000,312.09000000,8344.41924000,2017-09-06 04:29:59.999,2397490.91783860
19,2017-09-06 04:30:00,313.29000000,336.34000000,312.09000000,335.00000000,5486.30988000,2017-09-07 04:29:59.999,1793962.85849940
20,2017-09-07 04:30:00,335.01000000,342.50000000,320.17000000,334.49000000,3103.89745000,2017-09-08 04:29:59.999,1027135.68695240
21,2017-09-08 04:30:00,334.49000000,335.10000000,272.00000000,302.99000000,4915.75693000,2017-09-09 04:29:59.999,1494309.88661630
22,2017-09-09 04:30:00,300.01000000,307.00000000,281.66000000,296.74000000,2740.58822000,2017-09-10 04:29:59.999,813750.35893590
23,2017-09-10 04:30:00,296.72000000,302.78000000,261.03000000,293.50000000,4156.45099000,2017-09-11 04:29:59.999,1181903.77219990
24,2017-09-11 04:30:00,293.51000000,304.98000000,285.21000000,297.30000000,4829.64647000,2017-09-12 04:29:59.999,1436811.81615690
25,2017-09-12 04:30:00,297.78000000,316.46000000,286.01000000,293.96000000,5176.31402000,2017-09-13 04:29:59.999,1573452.41245190
26,2017-09-13 04:30:00,293.93000000,294.50000000,257.05000000,276.91000000,6451.22836000,2017-09-14 04:29:59.999,1761080.89760690
27,2017-09-14 04:30:00,275.76000000,283.77000000,215.00000000,215.21000000,12601.95676000,2017-09-15 04:29:59.999,3110767.78056470
28,2017-09-15 04:30:00,217.00000000,270.93000000,192.00000000,253.00000000,14223.89530000,2017-09-16 04:29:59.999,3319311.82673500
29,2017-09-16 04:30:00,255.99000000,271.81000000,235.51000000,249.31000000,10362.06011000,2017-09-17 04:29:59.999,2647152.37237080
30,2017-09-17 04:30:00,249.32000000,264.39000000,239.02000000,257.55000000,4614.53337000,2017-09-18 04:29:59.999,1149704.29492940
31,2017-09-18 04:30:00,257.53000000,306.22000000,257.11000000,294.57000000,4125.97051000,2017-09-19 04:29:59.999,1182937.63357400
32,2017-09-19 04:30:00,296.00000000,300.00000000,277.41000000,284.00000000,1869.90852000,2017-09-20 04:29:59.999,535773.56520010
33,2017-09-20 04:30:00,284.01000000,294.00000000,275.91000000,282.00000000,1060.56734000,2017-09-21 03:29:59.999,302739.73375310
34,2017-09-21 03:30:00,285.10000000,287.00000000,252.10000000,257.00000000,1912.55583000,2017-09-22 03:29:59.999,516193.19706080
35,2017-09-22 03:30:00,258.00000000,272.97000000,253.01000000,264.00000000,1464.51250000,2017-09-23 03:29:59.999,382962.21794300
36,2017-09-23 03:30:00,259.99000000,286.23000000,255.11000000,285.93000000,2824.33572000,2017-09-24 03:29:59.999,788810.32442390
37,2017-09-24 03:30:00,286.50000000,294.61000000,275.00000000,282.00000000,5575.54422000,2017-09-25 03:29:59.999,1582877.48713290
38,2017-09-25 03:30:00,282.00000000,299.00000000,281.34000000,294.42000000,5870.48035000,2017-09-26 03:29:59.999,1705551.99210180
39,2017-09-26 03:30:00,294.42000000,296.81000000,286.24000000,287.90000000,4566.92804000,2017-09-27 03:29:59.999,1332125.16543960
